uid,province,district,name,electionday,pre,abroad,dis,cons,NVoters,NValid,Votes,isprevote,type,isabroad,isdisab,constit
17943,17204,igsansigab,prevote_in,0,1,0,0,Jeollabuk do_5,118547,38240,31296,TRUE,p,FALSE,FALSE,Jeollabuk do_5
17873,17204,igsansigab,abroad,0,0,1,0,Jeollabuk do_5,222,43,31,FALSE,d,TRUE,FALSE,Jeollabuk do_5
17990,17204,igsansieul,dongsandongjei1tu,1,0,0,0,Jeollabuk do_6,124454,37028,26224,FALSE,p,FALSE,FALSE,Jeollabuk do_6
18006,17204,igsansieul,prevote_in,0,1,0,0,Jeollabuk do_6,124454,41404,30714,TRUE,p,FALSE,FALSE,Jeollabuk do_6
17963,17204,igsansieul,abroad,0,0,1,0,Jeollabuk do_6,222,55,41,FALSE,d,TRUE,FALSE,Jeollabuk do_6
18354,17204,jeongeubsigochanggun_gochanggun,seongnaemyeonjei1tu,1,0,0,0,Jeollabuk do_7,144501,43141,29328,FALSE,p,FALSE,FALSE,Jeollabuk do_7
18410,17204,jeongeubsigochanggun_jeongeubsi,prevote_in,0,1,0,0,Jeollabuk do_7,144501,50067,35709,TRUE,p,FALSE,FALSE,Jeollabuk do_7
18305,17204,jeongeubsigochanggun_gochanggun,abroad,0,0,1,0,Jeollabuk do_7,85,18,13,FALSE,d,TRUE,FALSE,Jeollabuk do_7
17562,17204,namwueonsiimsilgungunchanggun_namwueonsi,dongchungdongtupyoso,1,0,0,0,Jeollabuk do_8,120251,32619,17499,FALSE,p,FALSE,FALSE,Jeollabuk do_8
17672,17204,namwueonsiimsilgungunchanggun_imsilgun,prevote_in,0,1,0,0,Jeollabuk do_8,120251,54453,29656,TRUE,p,FALSE,FALSE,Jeollabuk do_8
17508,17204,namwueonsiimsilgungunchanggun_namwueonsi,abroad,0,0,1,0,Jeollabuk do_8,128,26,3,FALSE,d,TRUE,FALSE,Jeollabuk do_8
17424,17204,gimjeisibuangun_gimjeisi,sinpungdongjei1tu,1,0,0,0,Jeollabuk do_9,121172,35540,22932,FALSE,p,FALSE,FALSE,Jeollabuk do_9
17430,17204,gimjeisibuangun_gimjeisi,prevote_in,0,1,0,0,Jeollabuk do_9,121172,42365,29014,TRUE,p,FALSE,FALSE,Jeollabuk do_9
17444,17204,gimjeisibuangun_buangun,abroad,0,0,1,0,Jeollabuk do_9,81,18,13,FALSE,d,TRUE,FALSE,Jeollabuk do_9
19136,18461,mogposi,samhagdongjei1tu,1,0,0,0,Jeollanam-do_1,189332,55014,24739,FALSE,p,FALSE,FALSE,Jeollanam-do_1
19101,18461,mogposi,prevote_in,0,1,0,0,Jeollanam-do_1,189332,72197,37286,TRUE,p,FALSE,FALSE,Jeollanam-do_1
19092,18461,mogposi,abroad,0,0,1,0,Jeollanam-do_1,283,54,37,FALSE,d,TRUE,FALSE,Jeollanam-do_1
19745,18461,yeongamgunmuangunsinangun_muangun,samhyangeubjei5tu,1,0,0,0,Jeollanam-do_10,150792,45577,34010,FALSE,p,FALSE,FALSE,Jeollanam-do_10
19841,18461,yeongamgunmuangunsinangun_sinangun,prevote_in,0,1,0,0,Jeollanam-do_10,150792,51391,40618,TRUE,p,FALSE,FALSE,Jeollanam-do_10
19723,18461,yeongamgunmuangunsinangun_muangun,abroad,0,0,1,0,Jeollanam-do_10,98,17,14,FALSE,d,TRUE,FALSE,Jeollanam-do_10
19620,18461,yeosusigab,mipyeongdongjei1tu,1,0,0,0,Jeollanam-do_2,118636,39610,24357,FALSE,p,FALSE,FALSE,Jeollanam-do_2
19546,18461,yeosusigab,prevote_in,0,1,0,0,Jeollanam-do_2,118636,35453,24006,TRUE,p,FALSE,FALSE,Jeollanam-do_2
19536,18461,yeosusigab,abroad,0,0,1,0,Jeollanam-do_2,192,54,46,FALSE,d,TRUE,FALSE,Jeollanam-do_2
19658,18461,yeosusieul,yulchonmyeonjei4tu,1,0,0,0,Jeollanam-do_3,120358,42482,29376,FALSE,p,FALSE,FALSE,Jeollanam-do_3
19713,18461,yeosusieul,prevote_in,0,1,0,0,Jeollanam-do_3,120358,34695,25869,TRUE,p,FALSE,FALSE,Jeollanam-do_3
19643,18461,yeosusieul,abroad,0,0,1,0,Jeollanam-do_3,182,37,26,FALSE,d,TRUE,FALSE,Jeollanam-do_3
19336,18461,suncheonsigwangyangsigogseonggunguryeigungab_suncheonsi,wangjo2dongjei1tu,1,0,0,0,Jeollanam-do_4,192502,67250,38040,FALSE,p,FALSE,FALSE,Jeollanam-do_4
19221,18461,suncheonsigwangyangsigogseonggunguryeigungab_suncheonsi,prevote_in,0,1,0,0,Jeollanam-do_4,192502,66681,40388,TRUE,p,FALSE,FALSE,Jeollanam-do_4
19218,18461,suncheonsigwangyangsigogseonggunguryeigungab_suncheonsi,abroad,0,0,1,0,Jeollanam-do_4,325,77,52,FALSE,d,TRUE,FALSE,Jeollanam-do_4
19439,18461,suncheonsigwangyangsigogseonggunguryeiguneul_gwangyangsi,daabmyeonjei1tu,1,0,0,0,Jeollanam-do_5,215290,71979,44855,FALSE,p,FALSE,FALSE,Jeollanam-do_5
19517,18461,suncheonsigwangyangsigogseonggunguryeiguneul_guryeigun,prevote_in,0,1,0,0,Jeollanam-do_5,215290,70679,47508,TRUE,p,FALSE,FALSE,Jeollanam-do_5
19399,18461,suncheonsigwangyangsigogseonggunguryeiguneul_gwangyangsi,abroad,0,0,1,0,Jeollanam-do_5,247,75,56,FALSE,d,TRUE,FALSE,Jeollanam-do_5
18712,18461,najusihwasungun_najusi,abroad_office,1,0,0,0,Jeollanam-do_6,151126,43643,33408,FALSE,d,FALSE,FALSE,Jeollanam-do_6
18710,18461,najusihwasungun_najusi,prevote_out,0,1,0,0,Jeollanam-do_6,151126,52187,42107,TRUE,d,FALSE,FALSE,Jeollanam-do_6
18798,18461,najusihwasungun_hwasungun,abroad,0,0,1,0,Jeollanam-do_6,59,20,18,FALSE,d,TRUE,FALSE,Jeollanam-do_6
18972,18461,damyanggunhampyeonggunyeonggwanggunjangseonggun_yeonggwanggun,yeomsanmyeonjei2tu,1,0,0,0,Jeollanam-do_7,157392,42978,34648,FALSE,p,FALSE,FALSE,Jeollanam-do_7
