uid,province,district,name,electionday,pre,abroad,dis,cons,NVoters,NValid,Votes,isprevote,type,isabroad,isdisab,constit,eday
7723,7225,gumisieul,abroad,0,0,1,0,Gyeongsangbuk-do_7,258,77,36,FALSE,d,TRUE,FALSE,Gyeongsangbuk-do_7,FALSE
8770,7225,yeongcheonsicheongdogun_cheongdogun,abroad_office,1,0,0,0,Gyeongsangbuk-do_8,158759,59532,10412,FALSE,d,FALSE,FALSE,Gyeongsangbuk-do_8,TRUE
8748,7225,yeongcheonsicheongdogun_yeongcheonsi,prevote_in,0,1,0,0,Gyeongsangbuk-do_8,158759,49793,13427,TRUE,p,FALSE,FALSE,Gyeongsangbuk-do_8,FALSE
8689,7225,yeongcheonsicheongdogun_yeongcheonsi,abroad,0,0,1,0,Gyeongsangbuk-do_8,132,31,18,FALSE,d,TRUE,FALSE,Gyeongsangbuk-do_8,FALSE
8645,7225,yeongjusiyeongyanggunbonghwagunuljingun_uljingun,uljineubjei3tu,1,0,0,0,Gyeongsangbuk-do_9,149371,52476,9382,FALSE,p,FALSE,FALSE,Gyeongsangbuk-do_9,TRUE
8590,7225,yeongjusiyeongyanggunbonghwagunuljingun_yeongjusi,prevote_in,0,1,0,0,Gyeongsangbuk-do_9,149371,48996,12486,TRUE,p,FALSE,FALSE,Gyeongsangbuk-do_9,FALSE
8547,7225,yeongjusiyeongyanggunbonghwagunuljingun_yeongjusi,abroad,0,0,1,0,Gyeongsangbuk-do_9,139,36,25,FALSE,d,TRUE,FALSE,Gyeongsangbuk-do_9,FALSE
15420,13924,changwueonsieuichanggu,euichangdongjei2tu,1,0,0,0,Gyeongsangnam-do_1,221394,98122,32198,FALSE,p,FALSE,FALSE,Gyeongsangnam-do_1,TRUE
15441,13924,changwueonsieuichanggu,prevote_in,0,1,0,0,Gyeongsangnam-do_1,221394,52005,22874,TRUE,p,FALSE,FALSE,Gyeongsangnam-do_1,FALSE
15391,13924,changwueonsieuichanggu,abroad,0,0,1,0,Gyeongsangnam-do_1,455,115,78,FALSE,d,TRUE,FALSE,Gyeongsangnam-do_1,FALSE
